,0
AL,0.0208333333333333
AT,0.0208333333333333
BA,0.0208333333333333
BE,0.0208333333333333
BG,0.0208333333333333
CH,0.0208333333333333
CZ,0.0208333333333333
DE,0.0208333333333333
DK,0.0416666666666667
EE,0.0208333333333333
ES,0.0416666666666667
FI,0.0208333333333333
FR,0.0416666666666667
GB,0.0416666666666667
GR,0.0208333333333333
HR,0.0208333333333333
HU,0.0208333333333333
IE,0.0208333333333333
IT,0.125
LT,0.0208333333333333
LU,0.0208333333333333
LV,0.0208333333333333
ME,0.0208333333333333
MK,0.0208333333333333
NL,0.0208333333333333
NO,0.0625
PL,0.0208333333333333
PT,0.0208333333333333
RO,0.0208333333333333
RS,0.0208333333333333
SE,0.0833333333333333
SI,0.0208333333333333
SK,0.0208333333333333
XK,0.0208333333333333
